
capacity	voltage
2195.5224	3.7867
2197.5460	3.7864
2199.7487	3.7861
2201.8618	3.7856
2203.7953	3.7855
2205.9981	3.7850
2208.2011	3.7845
2210.3142	3.7841
2212.3372	3.7838
2214.5404	3.7833
2216.6536	3.7830
2218.6763	3.7827
2220.6988	3.7824
2222.9023	3.7819
2225.1060	3.7815
2227.2191	3.7812
2229.3322	3.7810
2231.3544	3.7807
2233.4674	3.7803
2235.4893	3.7801
2237.7847	3.7795
2239.8978	3.7792
2242.0109	3.7789
2243.9411	3.7786
2246.2371	3.7780
2248.2586	3.7778
2250.4633	3.7774
2252.5764	3.7769
2254.6896	3.7768
2256.6187	3.7765
2258.9158	3.7760
2260.9368	3.7757
2263.0498	3.7752
2265.1628	3.7749
2267.2758	3.7746
2269.4813	3.7743
2271.5944	3.7739
2273.5222	3.7737
2275.7279	3.7733
2277.8410	3.7729
2279.9540	3.7725
2282.0670	3.7720
2284.1800	3.7717
2286.2931	3.7714
2288.4061	3.7710
2290.5191	3.7707
2292.7256	3.7704
2294.7452	3.7700
2296.8582	3.7697
2298.8775	3.7694
2301.1780	3.7690
2303.1034	3.7687
2305.3103	3.7684
2307.3293	3.7681
2309.6304	3.7676
2311.7436	3.7673
2313.6681	3.7671
2315.9698	3.7665
2317.9884	3.7662
2320.0069	3.7659
2322.2145	3.7656
2324.3275	3.7652
2326.4405	3.7649
2328.4587	3.7647
2330.6666	3.7642
2332.8747	3.7639
2334.9878	3.7636
2337.0057	3.7633
2339.2140	3.7629
2341.2317	3.7627
2343.3447	3.7624
2345.3622	3.7621
2347.6664	3.7617
2349.6838	3.7615
2351.7968	3.7610
2354.0058	3.7606
2356.0229	3.7603
2358.1359	3.7600
2360.2489	3.7597
2362.3620	3.7594
2364.5713	3.7589
2366.5880	3.7588
2368.7976	3.7583
2370.8141	3.7581
2372.9271	3.7578
2374.9433	3.7575
2377.0563	3.7572
2379.3631	3.7568
2381.4762	3.7565
2383.3951	3.7563
2385.5080	3.7560
2387.7183	3.7556
2389.8313	3.7551
2392.0418	3.7548
2394.0573	3.7545
2396.2680	3.7542
2398.2834	3.7539
2400.3964	3.7536
2402.6073	3.7531
2404.6225	3.7530
2406.7355	3.7527
2408.8485	3.7523
2411.0598	3.7519
2413.0746	3.7517
2415.1876	3.7514
2417.2021	3.7513
2419.4136	3.7508
2421.5267	3.7507
2423.7384	3.7502
2425.7527	3.7498
2427.9647	3.7494
2429.9788	3.7491
2432.1909	3.7488
2434.3040	3.7485
2436.4171	3.7482
2438.4309	3.7479
2440.6433	3.7476
2442.6569	3.7473
2444.7699	3.7470
2446.8830	3.7469
2448.9960	3.7465
2451.1090	3.7464
2453.3220	3.7459
2455.3351	3.7456
2457.4481	3.7453
2459.6613	3.7450
2461.6741	3.7447
2463.7872	3.7444
2465.9002	3.7441
2468.1138	3.7436
2470.1262	3.7435
2472.3400	3.7430
2474.4531	3.7427
2476.5662	3.7424
2478.4773	3.7423
2480.6914	3.7418
2482.9056	3.7415
2485.0187	3.7412
2487.1318	3.7409
2489.1435	3.7407
2491.2565	3.7403
2493.3695	3.7400
2495.4825	3.7397
2497.5956	3.7394
2499.7086	3.7391
2501.7196	3.7389
2503.8326	3.7383
2506.0477	3.7378
2508.1607	3.7375
2510.1714	3.7374
2512.2843	3.7371
2514.4998	3.7368
2516.6128	3.7365
2518.7258	3.7362
2520.8388	3.7360
2522.9519	3.7357
2525.1678	3.7354
2527.0749	3.7353
2529.2909	3.7350
2531.4040	3.7346
2533.5170	3.7343
2535.6300	3.7340
2537.7430	3.7337
2539.8561	3.7336
2541.9691	3.7333
2543.9784	3.7330
2546.0914	3.7325
2548.3082	3.7322
2550.4212	3.7319
2552.6382	3.7316
2554.6472	3.7314
2556.8644	3.7310
2558.8733	3.7308
2561.0907	3.7305
2563.0993	3.7302
2565.2124	3.7299
2567.3254	3.7298
2569.4384	3.7295
2571.5514	3.7292
2573.6645	3.7288
2575.6725	3.7287
2577.9956	3.7282
2579.8984	3.7281
2582.2218	3.7276
2584.3349	3.7275
2586.3426	3.7273
2588.4556	3.7269
2590.5687	3.7266
2592.7873	3.7263
2594.7947	3.7259
2596.9077	3.7256
2598.9148	3.7255
2601.1338	3.7252
2603.2468	3.7249
2605.2537	3.7246
2607.4729	3.7243
2609.5859	3.7240
2611.8053	3.7237
2613.8119	3.7235
2615.9250	3.7232
2618.0380	3.7230
2620.1510	3.7227
2622.3709	3.7223
2624.3771	3.7221
2626.3830	3.7218
2628.6031	3.7214
2630.6089	3.7212
2632.8292	3.7209
2635.0496	3.7206
2637.1627	3.7203
2639.2758	3.7200
2641.3889	3.7198
2643.3943	3.7195
2645.5073	3.7192
2647.7282	3.7189
2649.8413	3.7186
2651.8464	3.7185
2654.0676	3.7182
2656.1807	3.7179
2658.1855	3.7177
2660.4069	3.7173
2662.4115	3.7171
2664.5245	3.7168
2666.6376	3.7165
2668.7506	3.7162
2670.8636	3.7160
2672.9766	3.7154
2674.9806	3.7151
2677.0936	3.7150
2679.2065	3.7147
2681.4287	3.7144
2683.6511	3.7140
2685.5453	3.7137
2687.7678	3.7134
2689.7712	3.7133
2691.9939	3.7130
2694.1069	3.7127
2696.3298	3.7124
2698.3329	3.7121
2700.4460	3.7119
2702.4488	3.7116
2704.6720	3.7113
2706.7850	3.7110
