
capacity	voltage
1434.6270	3.9846
1436.7399	3.9840
1438.8527	3.9832
1440.9088	3.9826
1443.0784	3.9820
1445.1913	3.9815
1447.2471	3.9809
1449.4170	3.9803
1451.5299	3.9797
1453.5261	3.9791
1455.7556	3.9785
1457.8684	3.9777
1459.9813	3.9773
1462.0941	3.9767
1464.1492	3.9760
1466.2620	3.9754
1468.4327	3.9748
1470.4875	3.9744
1472.6584	3.9736
1474.7131	3.9731
1476.8258	3.9727
1478.9969	3.9718
1481.1098	3.9712
1483.1642	3.9707
1485.2164	3.9701
1487.3897	3.9695
1489.5025	3.9690
1491.6152	3.9684
1493.7869	3.9678
1495.8998	3.9672
1498.0126	3.9664
1500.0663	3.9660
1502.1791	3.9654
1504.3512	3.9648
1506.4640	3.9641
1508.5769	3.9634
1510.7513	3.9629
1512.7429	3.9623
1514.9154	3.9617
1516.9685	3.9612
1519.0812	3.9605
1521.1940	3.9599
1523.3068	3.9593
1525.4195	3.9586
1527.5323	3.9582
1529.7054	3.9576
1531.8183	3.9570
1533.8706	3.9564
1535.9834	3.9559
1538.0335	3.9554
1540.2089	3.9547
1542.3217	3.9539
1544.4954	3.9533
1546.5472	3.9528
1548.7211	3.9522
1550.7728	3.9518
1552.8855	3.9510
1555.0596	3.9506
1557.1725	3.9498
1559.2239	3.9492
1561.3366	3.9486
1563.5111	3.9480
1565.6239	3.9475
1567.7368	3.9469
1569.8496	3.9463
1571.9625	3.9457
1574.0132	3.9451
1576.1882	3.9446
1578.3010	3.9440
1580.4783	3.9432
1582.5267	3.9426
1584.6396	3.9422
1586.6899	3.9416
1588.8653	3.9409
1590.9781	3.9403
1592.9632	3.9399
1595.1409	3.9393
1597.3167	3.9387
1599.3013	3.9382
1601.4792	3.9374
1603.5267	3.9368
1605.7048	3.9362
1607.7520	3.9358
1609.9303	3.9350
1612.1067	3.9345
1614.1559	3.9339
1616.2686	3.9335
1618.3154	3.9330
1620.4942	3.9322
1622.6709	3.9316
1624.7197	3.9312
1626.8325	3.9306
1628.9452	3.9301
1631.1223	3.9295
1633.1708	3.9290
1635.2836	3.9284
1637.4609	3.9277
1639.5738	3.9272
1641.6219	3.9266
1643.7346	3.9260
1645.7803	3.9255
1648.0252	3.9249
1650.0729	3.9245
1652.1857	3.9239
1654.2985	3.9232
1656.4112	3.9228
1658.5894	3.9222
1660.7023	3.9216
1662.8151	3.9208
1664.8623	3.9205
1666.9751	3.9199
1669.0879	3.9193
1671.2006	3.9188
1673.3134	3.9182
1675.4262	3.9178
1677.4706	3.9173
1679.7180	3.9167
1681.8308	3.9161
1683.8772	3.9156
1686.0565	3.9149
1688.1028	3.9144
1690.2156	3.9139
1692.3951	3.9133
1694.4411	3.9129
1696.6208	3.9123
1698.6666	3.9118
1700.7794	3.9112
1702.9593	3.9106
1705.0049	3.9101
1707.1850	3.9095
1709.2305	3.9091
1711.2735	3.9084
1713.4560	3.9080
1715.4989	3.9075
1717.6816	3.9069
1719.7242	3.9065
1721.9750	3.9059
1724.0199	3.9054
1726.2007	3.9049
1728.3136	3.9043
1730.4264	3.9037
1732.5393	3.9033
1734.5837	3.9028
1736.6965	3.9023
1738.8093	3.9017
1740.9907	3.9011
1743.0348	3.9008
1745.0764	3.9004
1747.3292	3.8997
1749.3731	3.8994
1751.5550	3.8988
1753.6678	3.8984
1755.7114	3.8978
1757.9652	3.8972
1759.9369	3.8967
1762.1192	3.8961
1764.2321	3.8958
1766.2753	3.8953
1768.4578	3.8949
1770.5008	3.8944
1772.6136	3.8938
1774.7263	3.8935
1776.8391	3.8929
1779.0220	3.8921
1781.0646	3.8918
1783.1047	3.8914
1785.3606	3.8907
1787.4735	3.8904
1789.5157	3.8900
1791.6285	3.8894
1793.7413	3.8891
