Capacity (mAh), Voltage (V)
0.225171903, 4.407565217
0.225568569, 4.407565217
0.225899125, 4.407565217
0.226295792, 4.407548713
0.226626347, 4.406873807
0.227023014, 4.406742181
0.227353569, 4.406632492
0.227684125, 4.406522803
0.228014681, 4.406413114
0.228411347, 4.40571627
0.228874125, 4.405565217
0.229204681, 4.405565217
0.229535236, 4.405565217
0.229865792, 4.405565217
0.230196347, 4.405558733
0.230659125, 4.404839961
0.231055792, 4.404708343
0.231386347, 4.404598661
0.231783014, 4.404467043
0.232179681, 4.404335424
0.232642458, 4.403616653
0.232973014, 4.403565217
0.233369681, 4.403565217
0.233700236, 4.403565217
0.234096903, 4.403565217
0.234493569, 4.403437217
0.234824125, 4.402762318
0.235220792, 4.402630699
0.235617458, 4.402565217
0.235948014, 4.402565217
0.236344681, 4.402565217
0.236675236, 4.402565217
0.237071903, 4.401863246
0.237468569, 4.401705295
0.237799125, 4.401573668
0.238129681, 4.401462571
0.238526347, 4.401330944
0.238923014, 4.4006341
0.239319681, 4.400565217
0.239650236, 4.400565217
0.240046903, 4.400565217
0.240377458, 4.400565217
0.240774125, 4.400399329
0.241170792, 4.399636672
0.241501347, 4.399565217
0.241898014, 4.399565217
0.242228569, 4.399565217
0.242625236, 4.399565217
0.243021903, 4.399
0.243352458, 4.398903406
0.243749125, 4.398771788
0.244079681, 4.398662106
0.244476347, 4.398530488
0.244806903, 4.397855589
0.245203569, 4.397723971
0.245600236, 4.397592352
0.245930792, 4.397565217
0.246327458, 4.397565217
0.246724125, 4.397565217
0.247054681, 4.396979317
0.247451347, 4.396847699
0.247781903, 4.396738017
0.248178569, 4.396606399
0.248575236, 4.396474781
0.248905792, 4.395799881
0.249302458, 4.395668263
0.249699125, 4.395565217
0.250029681, 4.395565217
0.250161903, 4.395565217
0.250426347, 4.395565217
0.250823014, 4.395565217
0.251153569, 4.394923577
0.251550236, 4.394791951
0.251946903, 4.394660324
0.252277458, 4.394550636
0.252674125, 4.394419018
0.253004681, 4.394309336
0.253401347, 4.3936125
0.253798014, 4.393565217
0.254128569, 4.393565217
0.254525236, 4.393282609
0.254921903, 4.392977529
0.255252458, 4.392867847
0.255649125, 4.392736229
0.255979681, 4.392343938
0.256376347, 4.392282609
0.256706903, 4.392282609
0.257103569, 4.392
0.257500236, 4.391919112
0.257830792, 4.39180943
0.258227458, 4.391395203
0.258624125, 4.391263585
0.258954681, 4.390871294
0.259351347, 4.390739676
0.259748014, 4.390608058
0.260078569, 4.390282609
0.260475236, 4.390282609
0.260805792, 4.390282609
0.261202458, 4.389994027
0.261599125, 4.389836075
0.261929681, 4.389704448
0.262260236, 4.389290213
0.262590792, 4.389282609
0.262987458, 4.389282609
0.263318014, 4.389
0.263714681, 4.388885995
0.264045236, 4.38849369
0.264508014, 4.388340116
0.264904681, 4.387925877
0.265235236, 4.387816188
0.265631903, 4.387684562
0.266028569, 4.387282609
0.266359125, 4.387282609
0.266755792, 4.387282609
0.267152458, 4.387282609
0.267483014, 4.386939866
0.267879681, 4.38680823
0.268210236, 4.386415926
0.268606903, 4.386284291
0.268937458, 4.386282609
0.269334125, 4.386
0.269730792, 4.385717391
0.270061347, 4.385671228
0.270458014, 4.38553961
0.270854681, 4.385407992
0.271185236, 4.385015701
0.271515792, 4.384906019
0.271912458, 4.384774401
0.272243014, 4.38438211
0.272573569, 4.384282609
0.272970236, 4.384282609
0.273366903, 4.384
0.273697458, 4.384
0.274094125, 4.383637452
0.274424681, 4.383527763
0.274821347, 4.383396137
0.275151903, 4.383003839
0.275548569, 4.382589604
0.276011347, 4.382436039
0.276341903, 4.38232635
0.276738569, 4.382282609
0.277069125, 4.382
0.277399681, 4.382
0.277862458, 4.381618913
0.278259125, 4.381487294
0.278589681, 4.381377612
0.278920236, 4.380985322
0.279316903, 4.380853704
0.279647458, 4.380461413
0.280044125, 4.380329795
0.280374681, 4.380282609
0.280771347, 4.380282609
0.281101903, 4.38
0.281498569, 4.379998107
0.281829125, 4.37966906
