Capacity (mAh), Voltage (V)
0.082473731, 0.102429337
0.082525293, 0.102449643
0.082576856, 0.102469948
0.082628419, 0.102490254
0.082679982, 0.102510559
0.082731545, 0.102530864
0.082783108, 0.10255117
0.08283467, 0.102571475
0.082886233, 0.1025867
0.082937796, 0.102591668
0.082989359, 0.102596637
0.083040922, 0.102601606
0.083092485, 0.102606575
0.083144047, 0.102611544
0.08319561, 0.102616513
0.083247173, 0.102621481
0.083298736, 0.10262645
0.083350299, 0.102631419
0.083401862, 0.102636388
0.083453425, 0.102641357
0.083504987, 0.102646326
0.08355655, 0.102651294
0.083608113, 0.102656263
0.083659676, 0.102661232
0.083711239, 0.102666201
0.083762802, 0.10267117
0.083814364, 0.102676139
0.083865927, 0.102681108
0.08391749, 0.102686076
0.083969053, 0.102691045
0.084020616, 0.102696014
0.084072179, 0.102704375
0.084123741, 0.102713354
0.084175304, 0.102722334
0.084226867, 0.102731313
0.08427843, 0.102740292
0.084329993, 0.102749272
0.084381556, 0.102758251
0.084433118, 0.102721829
0.084484681, 0.102675375
0.084536244, 0.102628921
0.084587807, 0.102582467
0.08463937, 0.102536013
0.084690933, 0.102489559
0.084742495, 0.102443105
0.084794058, 0.102396651
0.084845621, 0.102376137
0.084897184, 0.102396715
0.084948747, 0.102417293
0.08500031, 0.102437871
0.085051873, 0.102458449
0.085103435, 0.102479027
0.085154998, 0.102499605
0.085206561, 0.102520183
0.085258124, 0.102540761
0.085309687, 0.102561339
0.08536125, 0.102581918
0.085412812, 0.102602496
0.085464375, 0.102623074
0.085515938, 0.102643652
0.085567501, 0.10266423
0.085619064, 0.102684808
0.085670627, 0.102673045
0.085722189, 0.102658779
0.085773752, 0.102644514
0.085825315, 0.102630248
0.085876878, 0.102615983
0.085928441, 0.102601717
0.085980004, 0.102587452
0.086031566, 0.102573186
0.086083129, 0.102567912
0.086134692, 0.102571771
0.086186255, 0.10257563
0.086237818, 0.102579489
0.086289381, 0.102583348
0.086340944, 0.102587206
0.086392506, 0.102591065
0.086444069, 0.102594924
0.086495632, 0.102599853
0.086547195, 0.102620431
0.086598758, 0.102641009
0.086650321, 0.102661587
0.086701883, 0.102682165
0.086753446, 0.102702744
0.086805009, 0.102723322
0.086856572, 0.1027409
0.086908135, 0.102681039
0.086959698, 0.102621179
0.08701126, 0.102560544
0.087062823, 0.102499561
0.087114386, 0.102438578
0.087165949, 0.102377595
0.087217512, 0.102317462
0.087269075, 0.102336917
0.087320637, 0.102356372
0.0873722, 0.102375827
0.087423763, 0.102395282
0.087475326, 0.102414737
0.087526889, 0.102434193
0.087578452, 0.102453648
0.087630015, 0.102473103
0.087681577, 0.102492558
0.08773314, 0.102512013
0.087784703, 0.102531468
0.087836266, 0.102550923
0.087887829, 0.102570379
0.087939392, 0.102589834
0.087990954, 0.102609289
0.088042517, 0.102628744
0.08809408, 0.102648199
0.088145643, 0.102667654
0.088197206, 0.102687109
0.088248769, 0.102706565
0.088300331, 0.10272602
0.088351894, 0.102745475
0.088403457, 0.10276493
0.08845502, 0.10278333
0.088506583, 0.102793969
0.088558146, 0.102804607
0.088609708, 0.102815246
0.088661271, 0.102825885
0.088712834, 0.102836523
0.088764397, 0.102847162
0.08881596, 0.102857169
0.088867523, 0.102861015
0.088919085, 0.102864861
0.088970648, 0.102868707
0.089022211, 0.102872553
0.089073774, 0.102876399
0.089125337, 0.102880245
0.0891769, 0.102884091
0.089228463, 0.102887936
0.089280025, 0.102891782
0.089331588, 0.102895628
0.089383151, 0.102899474
0.089434714, 0.10290332
0.089486277, 0.102907166
0.08953784, 0.102911011
0.089589402, 0.102914857
0.089640965, 0.102918703
0.089692528, 0.102922549
0.089744091, 0.102926395
0.089795654, 0.102930241
0.089847217, 0.102934087
0.089898779, 0.102937933
0.089950342, 0.102941779
0.090001905, 0.102912816
0.090053468, 0.102862648
0.090105031, 0.10281248
0.090156594, 0.102762312
0.090208156, 0.102712144
0.090259719, 0.102661976
0.090311282, 0.102611808
0.090362845, 0.10256164
0.090414408, 0.102523681
0.090465971, 0.102543136
0.090517534, 0.102562591
0.090569096, 0.102582046
0.090620659, 0.102601502
0.090672222, 0.102620957
0.090723785, 0.102640412
0.090775348, 0.102659867
0.090826911, 0.102679322
0.090878473, 0.102698777
0.090930036, 0.102718232
0.090981599, 0.102737688
0.091033162, 0.102757143
0.091084725, 0.102776598
0.091136288, 0.10279597
0.09118785, 0.10281474
0.091239413, 0.10283351
0.091290976, 0.102852281
0.091342539, 0.102871051
0.091394102, 0.102889821
0.091445665, 0.102908592
0.091497227, 0.102925618
0.09154879, 0.102926342
0.091600353, 0.102927066
0.091651916, 0.10292779
0.091703479, 0.102928514
0.091755042, 0.102929238
0.091806605, 0.102929963
0.091858167, 0.102930687
0.09190973, 0.102931411
0.091961293, 0.102932135
0.092012856, 0.102932859
0.092064419, 0.102933583
0.092115982, 0.102934307
0.092167544, 0.102935031
0.092219107, 0.102935755
0.09227067, 0.102936479
0.092322233, 0.102937203
0.092373796, 0.102938511
0.092425359, 0.102941725
0.092476921, 0.102944939
0.092528484, 0.102948153
0.092580047, 0.102951368
0.09263161, 0.102954582
0.092683173, 0.102957796
0.092734736, 0.102950469
0.092786298, 0.102902893
0.092837861, 0.102855316
0.092889424, 0.102807739
0.092940987, 0.102760162
0.09299255, 0.102712585
0.093044113, 0.102665008
0.093095675, 0.102617431
0.093147238, 0.102569854
0.093198801, 0.102574259
0.093250364, 0.102593714
0.093301927, 0.102613169
0.09335349, 0.102632624
0.093405053, 0.10265208
0.093456615, 0.102671535
0.093508178, 0.10269099
0.093559741, 0.10271003
0.093611304, 0.102728931
0.093662867, 0.102747832
0.09371443, 0.102766734
0.093765992, 0.102785635
0.093817555, 0.102804536
0.093869118, 0.102823437
0.093920681, 0.102829214
0.093972244, 0.102829938
0.094023807, 0.102830662
0.094075369, 0.102831386
0.094126932, 0.10283211
0.094178495, 0.102832834
0.094230058, 0.102833558
0.094281621, 0.102834282
0.094333184, 0.102835006
0.094384746, 0.102835731
0.094436309, 0.102836455
0.094487872, 0.102837179
0.094539435, 0.102837903
0.094590998, 0.102838627
0.094642561, 0.102839351
0.094694124, 0.102840594
0.094745686, 0.102843445
0.094797249, 0.102846963
0.094848812, 0.102850481
0.094900375, 0.102853999
0.094951938, 0.102857517
0.095003501, 0.102861035
0.095055063, 0.102864554
0.095106626, 0.102868072
0.095158189, 0.102885521
0.095209752, 0.1029058
0.095261315, 0.102926079
0.095312878, 0.102946358
0.09536444, 0.102966637
0.095416003, 0.102986916
0.095467566, 0.103007195
0.095519129, 0.103027474
0.095570692, 0.103047753
0.095622255, 0.103068032
0.095673817, 0.103088311
0.09572538, 0.10310859
0.095776943, 0.103128869
0.095828506, 0.103149148
0.095880069, 0.103117298
0.095931632, 0.103070545
0.095983195, 0.103023792
0.096034757, 0.10297704
0.09608632, 0.102930287
0.096137883, 0.102883534
0.096189446, 0.102836781
0.096241009, 0.102790028
0.096292572, 0.102764488
0.096344134, 0.102779114
0.096395697, 0.10279374
0.09644726, 0.102808365
0.096498823, 0.102822991
0.096550386, 0.102837617
0.096601949, 0.102852242
0.096653511, 0.102863693
0.096705074, 0.102868363
0.096756637, 0.102873033
0.0968082, 0.102877703
0.096859763, 0.102882372
0.096911326, 0.102887042
0.096962888, 0.102891712
0.097014451, 0.102896382
0.097066014, 0.102901052
0.097117577, 0.102905722
0.09716914, 0.102910391
0.097220703, 0.102915061
0.097272265, 0.102919731
0.097323828, 0.102924401
0.097375391, 0.102929071
0.097426954, 0.102933741
0.097478517, 0.102938411
0.09753008, 0.10294308
0.097581643, 0.10294775
0.097633205, 0.10295242
0.097684768, 0.10295709
0.097736331, 0.10296176
0.097787894, 0.102966429
0.097839457, 0.10297889
0.09789102, 0.102992892
0.097942582, 0.103006894
0.097994145, 0.103020896
0.098045708, 0.103034898
0.098097271, 0.1030489
0.098148834, 0.103062902
0.098200397, 0.103027719
0.098251959, 0.102980966
0.098303522, 0.102934213
0.098355085, 0.10288746
0.098406648, 0.102840708
0.098458211, 0.102793955
0.098509774, 0.102747202
0.098561336, 0.102700449
0.098612899, 0.102679
0.098664462, 0.102699279
0.098716025, 0.102719558
0.098767588, 0.102739837
0.098819151, 0.102760117
0.098870714, 0.102780396
0.098922276, 0.102800675
0.098973839, 0.102820954
0.099025402, 0.102841233
0.099076965, 0.102861512
0.099128528, 0.102881791
0.099180091, 0.10290207
0.099231653, 0.102922349
0.099283216, 0.102942628
0.099334779, 0.10295855
0.099386342, 0.102965383
0.099437905, 0.102972217
0.099489468, 0.10297905
0.09954103, 0.102985883
0.099592593, 0.102992716
0.099644156, 0.102999549
0.099695719, 0.103006382
0.099747282, 0.103013215
0.099798845, 0.103018119
0.099850407, 0.103022788
0.09990197, 0.103027458
0.099953533, 0.103032128
0.100005096, 0.103036798
0.100056659, 0.103041467
0.100108222, 0.103046137
0.100159785, 0.103050807
0.100211347, 0.103055477
0.10026291, 0.103060147
0.100314473, 0.103064817
0.100366036, 0.103069486
0.100417599, 0.103074156
0.100469162, 0.103078826
0.100520724, 0.103083496
0.100572287, 0.103088166
0.10062385, 0.10309304
0.100675413, 0.103105041
0.100726976, 0.103117042
0.100778539, 0.103129043
0.100830101, 0.103141044
0.100881664, 0.103153044
0.100933227, 0.103165045
0.10098479, 0.103176967
0.101036353, 0.103116808
0.101087916, 0.103056649
0.101139478, 0.10299649
0.101191041, 0.102936331
0.101242604, 0.102876172
0.101294167, 0.102816013
0.10134573, 0.102755853
0.101397293, 0.10277407
