
capacity	voltage
1838.4067	3.8601
1840.4448	3.8596
1842.5578	3.8592
1844.6708	3.8587
1846.7839	3.8584
1849.0476	3.8576
1851.1608	3.8573
1853.2740	3.8569
1855.3116	3.8564
1857.4247	3.8561
1859.6136	3.8556
1861.7268	3.8552
1863.8400	3.8547
1865.8771	3.8543
1868.0663	3.8540
1870.1033	3.8535
1872.2164	3.8531
1874.4059	3.8524
1876.5191	3.8520
1878.5558	3.8517
1880.6689	3.8512
1882.7053	3.8509
1884.8951	3.8503
1887.0082	3.8499
1889.1213	3.8495
1891.3115	3.8491
1893.3476	3.8488
1895.5379	3.8483
1897.4965	3.8480
1899.7643	3.8474
1901.8000	3.8471
1903.9131	3.8466
1905.9486	3.8462
1908.1393	3.8459
1910.2524	3.8454
1912.3656	3.8450
1914.4787	3.8447
1916.5137	3.8442
1918.7049	3.8437
1920.8180	3.8433
1922.9311	3.8430
1924.9658	3.8425
1927.2359	3.8421
1929.2704	3.8418
1931.3049	3.8415
1933.4967	3.8408
1935.5309	3.8405
1937.8019	3.8401
1939.8360	3.8398
1941.9491	3.8393
1944.1414	3.8389
1946.0960	3.8386
1948.2884	3.8381
1950.4016	3.8378
1952.4351	3.8375
1954.7074	3.8369
1956.7409	3.8366
1958.8540	3.8361
1960.9671	3.8360
1963.1602	3.8352
1965.1933	3.8349
1967.3064	3.8346
1969.4998	3.8340
1971.5327	3.8338
1973.6458	3.8334
1975.8394	3.8331
1977.9526	3.8326
1980.0658	3.8322
1982.1790	3.8320
1984.2113	3.8317
1986.3244	3.8311
1988.4376	3.8309
1990.5507	3.8305
1992.6638	3.8302
1994.8582	3.8294
1996.9714	3.8291
1999.0846	3.8288
2001.1162	3.8283
2003.3110	3.8280
2005.4242	3.8276
2007.4556	3.8274
2009.6506	3.8270
2011.7638	3.8265
2013.7949	3.8262
2015.9080	3.8259
2018.1033	3.8254
2020.2165	3.8250
2022.2473	3.8247
2024.3604	3.8244
2026.5561	3.8239
2028.6693	3.8235
2030.6998	3.8231
2032.8129	3.8228
2034.9260	3.8225
2037.0391	3.8221
2039.1522	3.8216
2041.3485	3.8212
2043.3784	3.8210
2045.5749	3.8206
2047.6881	3.8201
2049.8848	3.8198
2051.8309	3.8196
2054.0277	3.8192
2056.0571	3.8189
2058.2541	3.8186
2060.3673	3.8180
2062.4805	3.8177
2064.5937	3.8172
2066.6227	3.8169
2068.8201	3.8166
2070.8489	3.8163
2072.9620	3.8158
2075.1597	3.8155
2077.2729	3.8152
2079.3861	3.8148
2081.4144	3.8146
2083.5276	3.8141
2085.6407	3.8138
2087.8389	3.8134
2089.8669	3.8131
2092.0653	3.8125
2094.0931	3.8122
2096.2916	3.8117
2098.4048	3.8116
2100.4324	3.8112
2102.6312	3.8108
2104.6587	3.8105
2106.8576	3.8100
2108.9708	3.8097
2110.9980	3.8094
2113.0250	3.8091
2115.2242	3.8088
2117.3373	3.8083
2119.5368	3.8080
2121.5636	3.8077
2123.6767	3.8074
2125.7898	3.8068
2127.9029	3.8067
2130.1028	3.8062
2132.0422	3.8061
2134.3292	3.8056
2136.2683	3.8053
2138.3813	3.8050
2140.4943	3.8047
2142.6947	3.8044
2144.7204	3.8039
2147.0084	3.8035
2148.9464	3.8033
2151.2348	3.8029
2153.2602	3.8025
2155.4612	3.8022
2157.4864	3.8019
2159.5996	3.8015
2161.7127	3.8010
2163.8258	3.8007
2165.9389	3.8004
2168.1404	3.8000
2170.2535	3.7996
2172.2782	3.7993
2174.3913	3.7992
2176.5044	3.7987
2178.5288	3.7986
2180.7307	3.7981
2182.8438	3.7978
2184.9569	3.7975
2187.0700	3.7972
2189.1831	3.7967
2191.2962	3.7966
2193.4093	3.7961
2195.5224	3.7958
2197.7251	3.7952
2199.8383	3.7949
2201.8618	3.7946
2204.0647	3.7943
2206.1779	3.7942
2208.2911	3.7937
2210.3142	3.7935
2212.4273	3.7932
2214.6307	3.7928
2216.6536	3.7925
2218.7667	3.7922
2220.9703	3.7919
2222.9929	3.7917
2225.0153	3.7914
2227.3099	3.7910
2229.3322	3.7906
2231.4453	3.7903
2233.5584	3.7900
2235.7627	3.7894
2237.7847	3.7893
2240.0803	3.7888
2242.0109	3.7887
2244.2155	3.7882
2246.4202	3.7879
2248.4418	3.7876
2250.4633	3.7874
2252.5764	3.7870
2254.6896	3.7867
2256.8946	3.7864
2258.9158	3.7861
2261.0289	3.7858
2263.2342	3.7855
2265.3474	3.7850
2267.3682	3.7848
2269.3889	3.7845
2271.5944	3.7841
2273.8002	3.7836
2275.8207	3.7833
2277.9338	3.7832
2280.1398	3.7829
2282.1600	3.7826
2284.2731	3.7823
2286.3862	3.7819
2288.4993	3.7816
2290.6124	3.7813
2292.8190	3.7810
2294.9322	3.7806
2296.9518	3.7803
2299.1586	3.7800
2301.2718	3.7798
2303.2911	3.7795
2305.4982	3.7792
2307.6114	3.7787
2309.7246	3.7783
2311.8378	3.7781
2313.7624	3.7778
2316.0642	3.7775
2318.1774	3.7772
2320.1960	3.7769
2322.3091	3.7766
2324.4222	3.7765
2326.6301	3.7761
2328.7433	3.7758
2330.8565	3.7755
2332.8747	3.7752
2335.0829	3.7749
2337.1961	3.7746
2339.3093	3.7743
2341.3271	3.7742
2343.5357	3.7737
2345.5533	3.7734
2347.5708	3.7731
2349.7796	3.7726
2351.9885	3.7723
2354.1017	3.7720
2356.1189	3.7719
2358.3281	3.7714
2360.4413	3.7711
2362.5545	3.7708
2364.6677	3.7705
2366.6844	3.7704
2368.7976	3.7700
2371.0073	3.7696
2373.0238	3.7694
2375.2337	3.7691
2377.3469	3.7690
2379.4601	3.7687
2381.5733	3.7684
2383.5893	3.7681
2385.7997	3.7676
2387.8156	3.7675
2390.0261	3.7671
2392.0418	3.7668
2394.2525	3.7664
2396.2680	3.7662
2398.4788	3.7659
2400.4942	3.7656
2402.6073	3.7653
2404.8184	3.7650
2406.8336	3.7649
2408.9467	3.7646
2411.0598	3.7642
2413.1729	3.7639
2415.2860	3.7638
2417.3991	3.7635
2419.6108	3.7630
2421.7240	3.7629
2423.8372	3.7626
2425.9504	3.7623
2428.0636	3.7621
2430.0778	3.7618
2432.2900	3.7615
2434.3040	3.7612
2436.5164	3.7607
2438.5302	3.7604
2440.6433	3.7603
2442.7564	3.7601
2444.8696	3.7597
2446.9827	3.7594
2449.1956	3.7592
2451.2089	3.7589
2453.4220	3.7588
2455.5352	3.7583
2457.6484	3.7581
2459.6613	3.7580
2461.7744	3.7577
2463.8876	3.7574
2466.1012	3.7571
2468.2144	3.7568
2470.2269	3.7566
2472.3400	3.7563
2474.5539	3.7560
2476.5662	3.7559
2478.6793	3.7552
2480.8935	3.7549
2483.0067	3.7548
2485.0187	3.7545
2487.0304	3.7543
2489.3463	3.7540
2491.4595	3.7537
2493.3695	3.7536
2495.4825	3.7533
2497.6973	3.7530
2499.7086	3.7528
2501.8216	3.7523
2503.9346	3.7523
2506.2519	3.7519
2508.2629	3.7517
2510.3760	3.7514
2512.5915	3.7510
2514.7047	3.7508
2516.8179	3.7505
2518.8284	3.7504
2520.9416	3.7502
2523.1575	3.7496
2525.2707	3.7494
2527.2809	3.7493
2529.4971	3.7490
2531.5071	3.7487
2533.6202	3.7484
2535.8367	3.7482
2537.8464	3.7479
2539.9596	3.7478
2542.1763	3.7475
2544.0821	3.7473
2546.1951	3.7470
2548.4120	3.7467
2550.5251	3.7465
2552.6382	3.7462
2554.6472	3.7461
2556.8644	3.7456
2558.9776	3.7455
2560.9863	3.7452
2563.0993	3.7450
2565.4214	3.7446
2567.3254	3.7444
2569.4384	3.7441
2571.5514	3.7438
2573.8742	3.7435
2575.8824	3.7432
2577.9956	3.7429
2580.1087	3.7427
2582.1166	3.7426
2584.3349	3.7423
2586.5534	3.7420
2588.5611	3.7418
2590.7798	3.7415
2592.7873	3.7414
2594.9004	3.7411
2596.9077	3.7411
2599.1267	3.7406
2601.1338	3.7404
2603.3529	3.7401
2605.4660	3.7400
2607.5791	3.7397
2609.5859	3.7395
2611.8053	3.7392
2613.9184	3.7391
2616.0316	3.7388
2618.0380	3.7385
2620.3646	3.7382
2622.3709	3.7378
2624.4840	3.7377
2626.5971	3.7374
2628.7102	3.7372
2630.8233	3.7369
2633.0437	3.7366
2635.0496	3.7366
2637.0552	3.7363
2639.3833	3.7360
2641.2813	3.7360
2643.3943	3.7357
2645.6151	3.7354
2647.6203	3.7353
2649.7334	3.7350
2652.0625	3.7346
2654.0676	3.7345
2656.1807	3.7343
2658.1855	3.7340
2660.2985	3.7339
